Time,Time Code,Country Name,Country Code,Population density (people per sq. km of land area) [EN.POP.DNST],Urban population [SP.URB.TOTL],Urban population growth (annual %) [SP.URB.GROW],"Manufacturing, value added (current US$) [NV.IND.MANF.CD]","Industry, value added (current US$) [NV.IND.TOTL.CD]","Agriculture, value added (current US$) [NV.AGR.TOTL.CD]","Services, etc., value added (current US$) [NV.SRV.TETC.CD]",Present value of external debt (current US$) [DT.DOD.PVLX.CD],"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total) [EN.ATM.PM25.MC.ZS]","Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal) [ER.GDP.FWTL.M3.KD]",Fuel exports (% of merchandise exports) [TX.VAL.FUEL.ZS.UN],Fuel imports (% of merchandise imports) [TM.VAL.FUEL.ZS.UN],Merchandise exports (current US$) [TX.VAL.MRCH.CD.WT],Merchandise imports (current US$) [TM.VAL.MRCH.CD.WT],Access to electricity (% of population) [EG.ELC.ACCS.ZS],High-technology exports (current US$) [TX.VAL.TECH.CD],"Tariff rate, applied, weighted mean, all products (%) [TM.TAX.MRCH.WM.AR.ZS]",CPIA business regulatory environment rating (1=low to 6=high) [IQ.CPA.BREG.XQ],CPIA policy and institutions for environmental sustainability rating (1=low to 6=high) [IQ.CPA.ENVR.XQ],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Urban population (% of total) [SP.URB.TOTL.IN.ZS],Rural population (% of total population) [SP.RUR.TOTL.ZS],"Air transport, freight (million ton-km) [IS.AIR.GOOD.MT.K1]",Travel services (% of commercial service imports) [TM.VAL.TRVL.ZS.WT],Travel services (% of commercial service exports) [TX.VAL.TRVL.ZS.WT],Transport services (% of commercial service exports) [TX.VAL.TRAN.ZS.WT],Transport services (% of commercial service imports) [TM.VAL.TRAN.ZS.WT],"Air transport, passengers carried [IS.AIR.PSGR]","Railways, goods transported (million ton-km) [IS.RRS.GOOD.MT.K6]","Railways, passengers carried (million passenger-km) [IS.RRS.PASG.KM]"
1961,YR1961,Argentina,ARG,7.65635749756092,15550745,2.42676637719918,..,..,..,..,..,..,..,..,..,964100000,1460400000,..,..,..,..,..,2.44261589837139,74.217,25.783,..,..,..,..,..,..,..,..
1961,YR1961,Sweden,SWE,18.3262611492908,5511783,1.57546955011802,..,..,..,..,..,..,..,..,..,2744520000,2928550000,..,..,..,..,..,6.49624827027879,73.295,26.705,..,..,..,..,..,..,..,..
1961,YR1961,Poland,POL,97.828855006693,14540630,2.41297142884623,..,..,..,..,..,..,..,..,..,1503500000,1687000000,..,..,..,..,..,6.92280256307569,48.527,51.473,..,..,..,..,..,..,..,..
1961,YR1961,Belgium,BEL,..,8500111,0.433816323856793,..,..,..,..,..,..,..,..,..,3930000000,4224000000,..,..,..,..,..,10.1038719949198,92.554,7.446,..,..,..,..,..,..,..,..
1961,YR1961,Thailand,THA,55.2451682358238,5583030,3.52656643088378,394213254.568248,581463938.380884,1087347528.77712,1365232059.41572,..,..,..,..,..,477000000,485000000,..,..,..,..,..,0.14694398467358,19.781,80.219,..,..,..,..,..,..,..,..
1961,YR1961,"Iran, Islamic Rep.",IRN,13.8021672929099,7730791,4.50436682940544,394439234.323432,1231940899.0099,1102424027.72277,1858091312.21122,..,..,..,..,..,756283000,604620000,..,..,..,..,..,1.62548823602835,34.389,65.611,..,..,..,..,..,..,..,..
1961,YR1961,Austria,AUT,85.8113223540809,4592914,0.693616918619887,..,..,..,..,..,..,..,..,..,1202380000,1484770000,..,..,..,..,..,4.49636164096378,64.814,35.186,..,..,..,..,..,..,..,..
1961,YR1961,"Egypt, Arab Rep.",EGY,27.871527449897,10618456,3.80545871703583,..,..,..,..,..,..,..,..,..,485122000,700088000,..,..,..,..,..,0.615909078457906,38.272,61.728,..,..,..,..,..,..,..,..
1961,YR1961,Nigeria,NGA,50.5757820305895,7201014,3.46550627476864,..,..,..,..,..,..,..,..,..,485660000,622860000,..,..,..,..,..,0.0893207668947497,15.633,84.367,..,..,..,..,..,..,..,..
1961,YR1961,Norway,NOR,9.88322906542184,1840926,2.93080631430874,..,..,..,..,..,..,..,..,..,931280000,1616020000,..,..,..,..,..,3.69869438750069,50.998,49.002,..,..,..,..,..,..,..,..
1962,YR1962,United States,USA,20.3667228593639,131988693,2.07649430194512,..,..,..,..,..,..,..,3.75183822542366,11.2540966235365,21714000000,17802100000,..,..,..,..,..,16.0139374979897,70.757,29.243,..,..,..,..,..,..,..,..
1962,YR1962,China,CHN,70.9152397944239,114685540,3.87367811011942,..,14781866926.639,18405231944.1059,14018198066.4554,..,..,..,..,..,1913230000,1372970000,..,..,..,..,..,0.661428164381093,17.226,82.774,..,..,..,..,..,..,..,..
1962,YR1962,Japan,JPN,261.336242159804,62428798,2.37144606498316,..,..,..,..,..,..,..,0.396572157992249,18.4743040845683,4916110000,5636390000,..,..,..,..,..,3.05973635111445,65.144,34.856,..,..,..,..,..,..,..,..
1962,YR1962,Germany,DEU,212.029284220777,53122383,0.970049356805032,..,..,..,..,..,..,..,5.40497904651608,12.6225348665643,13244000000,12375000000,..,..,..,..,..,..,71.762,28.238,..,..,..,..,..,..,..,..
1962,YR1962,France,FRA,87.8791762088954,30550684,2.81142794147404,16323658511.3131,22493857935.5796,7472265624.90844,..,..,..,..,3.77615286525763,15.4222764071033,7411090000,7378480000,..,..,..,..,..,6.20757823898508,63.489,36.511,..,..,..,..,..,..,..,..
1962,YR1962,United Kingdom,GBR,220.104989046418,41661202,0.673704360785955,..,..,..,..,..,..,..,3.85597309902688,11.8886002760522,11373600000,12958400000,..,..,..,..,..,11.1429283943662,78.237,21.763,..,..,..,..,..,..,..,..
1962,YR1962,India,IND,157.357093559443,85233375,3.04660020728472,6855803145.80315,9603725844.72585,16145614670.6147,13279599256.5993,..,..,..,0.978182032459035,8.47351260153046,1403220000,2362080000,..,..,..,..,..,0.306651555039019,18.218,81.782,..,..,..,..,..,..,..,..
1962,YR1962,Brazil,BRA,9.16151775395004,36830967,4.99617969830973,4772116035.59079,5946175638.88398,3095469467.44058,8799174099.86423,..,..,..,0.612005555642229,17.2090810916278,1214000000,1475000000,..,..,..,..,..,0.701235515045672,48.099,51.901,..,..,..,..,..,..,..,..
1962,YR1962,Italy,ITA,172.994627860324,30708292,1.50683335249242,..,..,..,..,..,..,..,5.58975385372496,13.3521215895756,4667200000,6068800000,..,..,..,..,..,2.87849638704821,60.355,39.645,..,..,..,..,..,..,..,..
1962,YR1962,Canada,CAN,2.04695436635579,13121753,3.0385390081395,..,..,..,..,..,..,..,8.78781587742788,7.79796510036546,6212630000,6220220000,..,..,..,..,..,11.1306274846889,70.494,29.506,..,36.8760942674044,51.5502523804485,32.1580687675112,37.0052613039475,..,..,..
1962,YR1962,"Korea, Rep.",KOR,274.860356624508,7811004,6.06693993931122,323924322.785857,495540367.462952,1021388543.80209,1096081138.77361,..,..,..,4.85442051572683,8.0211196676249,56000000,422000000,..,..,..,..,..,0.651713666827217,29.461,70.539,..,..,..,..,..,..,..,..
1962,YR1962,Russian Federation,RUS,7.47964453826888,68060071,2.73118845754455,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,55.518,44.482,..,..,..,..,..,..,..,..
1962,YR1962,Australia,AUS,1.39827916118871,8844641,2.92275547994057,..,..,..,..,..,..,..,..,..,2356140000,2539710000,..,..,..,..,..,8.83568804691864,82.337,17.663,..,..,..,..,..,..,..,..
1962,YR1962,Spain,ESP,62.074044579615,18089104,2.6586660305609,..,..,..,..,..,..,..,6.06607275317137,15.6736323259432,736667000,1570000000,..,..,..,..,..,1.93578153318373,58.308,41.692,..,..,..,..,..,..,..,..
1962,YR1962,Mexico,MEX,20.9108197227295,21311766,4.74849068900758,..,..,..,..,..,..,..,4.60922628422934,2.74710248420855,929920000,1143040000,..,..,..,..,..,1.56974449531936,52.428,47.572,..,..,..,..,..,..,..,..
1962,YR1962,Indonesia,IDN,51.0927013584901,13937384,4.2355367639717,..,..,..,..,..,..,..,31.7117654113381,..,682000000,647100000,..,..,..,..,..,0.248446981976329,15.058,84.942,..,..,..,..,..,..,..,..
1962,YR1962,Turkey,TUR,37.4632030975923,9398918,4.05938559847602,1166666666.66667,1522222222.22222,4711111111.11111,2511111111.11111,..,..,..,1.61634257384799,12.3880013939524,381200000,619400000,..,..,..,..,..,0.75024379348454,32.598,67.402,..,..,..,..,..,..,..,..
1962,YR1962,Netherlands,NLD,349.694579383886,7107497,1.73056969240265,..,..,..,..,..,..,..,23.5841099766735,25.7874552637556,5259670000,6398340000,..,..,..,..,..,7.0608537968432,60.204,39.796,..,..,..,..,..,..,..,..
